X;Y;name;number;address;open;available;free;total;ticket;updated_at
724431.858;4375437.359;271_CALLE_SALVADOR_CERVERÓ_CALLE_CARLOS_CORTINA;271;Salvador Cerveró - Carlos Cortina;T;4;11;15;F;06/11/2018 13:04:02
729455.38;4373511.94099999964;272_VICENTE_LA_RODA_C_INGENIERO_FAUSTO_ELIO;272;Vicente la Roda - Ingeniero Fausto Elio;T;4;11;15;F;06/11/2018 13:04:02
727032.722;4371091.257;43_C/ DE ORIENTE;43;Escultor José Capuz - Oriente;T;1;19;20;F;06/11/2018 13:04:02
726882.491;4370748.23099999968;44_AVDA. GRAL. URRUTIA;44;General Urrutia - Av. de la Plata;T;6;11;19;T;06/11/2018 13:04:02
727759.956;4371146.034;54_PASEO ALAMEDA;54;Plaza de Europa;T;13;7;20;T;06/11/2018 13:04:02
727164.655;4373012.352;90_AVDA. BLASCO IBAÑEZ;90;"Blasco Ibañez, 32 (F. Filología)";T;38;2;40;F;06/11/2018 13:04:02
727152.481;4374451.727;125_C/ MASQUEFA;125;"Masquefa, 42 - 44";T;3;12;15;F;06/11/2018 13:04:02
726190.306;4374010.496;129_C_ALMAZORA;129;Almazora - Benimuslem;T;5;15;20;T;06/11/2018 13:04:02
726176.386;4373706.014;130_C/ CONVENTO CARMELITAS;130;Convento Carmelitas - Alboraya;T;3;12;15;F;06/11/2018 13:04:02
726102.788;4373416.677;131_C/ ALBORAYA;131;Alboraya - Flora;T;7;13;20;T;06/11/2018 13:04:02
725892.434;4373925.25499999989;132_C/ RUAYA;132;Platero Suárez - Milagrosa;T;3;12;15;F;06/11/2018 13:04:02
725690.054;4373638.278;133_C/ ALFAMBRA;133;Alfambra - Poeta Monmeneu;T;3;12;15;F;06/11/2018 13:04:02
725690.205;4374436.518;136_CALLE_ECONOMISTA_GAY;136;Economista Gay - Constitución;T;2;18;20;F;06/11/2018 13:04:02
726410.505;4369793.547;187_AVDA_AUSIAS_MARCH;187;Ángel Villena - Ausias March;T;5;10;15;T;06/11/2018 13:04:02
725993.732;4369396.438;188_HOSPITAL_NUEVA_FE;188;Hospital Nueva Fe (consultas externas);T;40;0;40;F;06/11/2018 13:04:02
724209.864;4372869.38399999961;202_PASEO_PECHINA;202;Pechina - Teruel;T;0;20;20;T;06/11/2018 13:04:02
723507.867;4373780.853;203_CALLE_REINA_VIOLANTE;203;Reina Violante - Escultor García Mas;T;7;8;15;F;06/11/2018 13:04:02
723526.821;4373109.16299999971;223_CALLE_VALLE_BALLESTERA_ESQ_PLAZA_POLICIA_LOCAL;223;Valle de la Ballestera - Hospital Nueve de Octubre;T;11;9;20;T;06/11/2018 13:04:02
724029.017;4374739.671;229_CALLE_AITANA_ESQ_AVDA_BURJASSOT;229;Aitana - Florista;T;2;14;16;F;06/11/2018 13:04:02
724713.645;4374942.37799999956;230_CALLE_POETA_SERRANO_CLAVERO_EQ_GENERAL_LLORENS;230;Poeta Serrano Clavero - General Llorens;T;5;9;15;F;06/11/2018 13:04:02
725414.648;4374998.531;231_CALLE_DE_ALCAÑIZ_ESQ_CALLE_CAMBRILS;231;Alcañiz - Cambrils;T;1;14;15;T;06/11/2018 13:04:02
721965.27;4375606.86199999973;268_PZA_LUIS_CANO_5;268;"Plaza Luis Cano, 5";T;2;8;10;T;06/11/2018 13:04:02
721301.976;4375417.006;269_CAMPAMENTO_81;269;"Campamento, 81";T;2;13;15;F;06/11/2018 13:04:02
724171.478;4375518.246;270_CALLE_NINOT_ESQ_PZA_REGINO_MAS;270;Ninot - Regino Mas;T;1;15;16;T;06/11/2018 13:04:02
729461.936;4370143.77599999961;273_CALLE_MORAIRA_CALLE_DALT_DE_LA_MAR;273;Moraira - Alta del Mar;T;14;1;15;T;06/11/2018 13:04:02
729476.507;4369895.89699999988;274_MANUEL_ANDRES_CASTELL_DE_POLOP;274;San Francisco de Paula - Castell de Pop;T;4;11;15;F;06/11/2018 13:04:02
729301.066;4370361.218;275_CAMINO_DE_LAS_MORERAS_ESQ_RONDA_DE_NAZARET;275;Moreras - Rona de Nazaret;T;3;17;20;F;06/11/2018 13:04:02
726116.944;4372999.585;005_PINTOR_LOPEZ_PZA_POETA_LLORENTE;5;Plaza Poeta Llorente;T;14;1;15;T;06/11/2018 13:04:02
726673.679;4371957.09;031_CALLE SALAMANCA;31;Salamanca - Conde Altea;T;15;4;20;F;06/11/2018 13:04:02
726401.133;4371798.14099999983;032_C/ CONDE DE ALTEA;32;Conde Altea - Almirante Cadarso;T;19;1;20;T;06/11/2018 13:04:02
725910.856;4371651.849;033_GRAN_VIA_GERMANIAS_ESQ_CALLE_RUZAFA;33;Germanías - Ruzafa;T;17;2;20;T;06/11/2018 13:04:02
726259.768;4371584.704;34_AVDA. ANTIGUO REINO DE VALENCIA;34;Regne de Valencia - Doctor Sumsi;T;0;17;17;F;06/11/2018 13:04:02
726516.262;4371550.757;35_C/ DUQUE DE CALABRIA;35;Regne de Valencia - Almirante Cadarso;T;12;8;20;T;06/11/2018 13:04:02
725740.337;4373230.46;036_PZA_LOS_FUEROS_CONDE_TRENOR;36;Plaza de los Fueros - Conde Trenor;T;5;17;25;F;06/11/2018 13:04:02
726573.03;4371240.06699999981;37_AVDA. PERIS Y VALERO;37;Peris y Valero - Luis Santángel;T;1;18;20;T;06/11/2018 13:04:02
726250.283;4371060.02099999972;38_AVDA. PERIS Y VALERO;38;Peris y Valero - Cabo Jubi;T;0;20;20;F;06/11/2018 13:04:02
725938.466;4370878.973;39_AVDA. PERIS Y VALERO;39;Peris y Valero - Cuba;T;6;13;19;T;06/11/2018 13:04:02
725820.827;4372276.70199999958;40_CALLE_BARCAS_FRENTE _TEATRO_PRINCIPAL;40;"Barcas, 11";T;25;1;26;T;06/11/2018 13:04:02
726722.808;4371019.416;41_AVDA. GRAL. URRUTIA;41;General Urrutia - Granada;T;2;17;20;F;06/11/2018 13:04:02
727249.674;4371020.291;42_AVDA. DE LA PLATA;42;Av. de la Plata (Museo Fallero);T;10;10;20;T;06/11/2018 13:04:02
723899.147;4373929.24799999967;204_AVDA_GENERAL_AVILES;204;Corts Valencianes - General Avilés;T;14;6;20;T;06/11/2018 13:04:02
724188.869;4374320.244;205_CALLE_NICASIO_BENLLOCH;205;Nicasio Benlloch - Amics dels Corpus;T;0;21;24;T;06/11/2018 13:04:02
724529.022;4374710.60599999968;206_CALLE_PERIODISTA_GIL_SUMBIELA;206;Periodista Gil Sumbiela - Poeta Serrano Clavero;T;8;6;15;F;06/11/2018 13:04:02
723101.26;4373091.11699999962;244_AVDA_PIO_BAROJA_VALLE_DE_LA_BALLESTERA;244;Valle de la Ballestera - Pio Baroja;T;19;1;20;T;06/11/2018 13:04:02
723068.981;4374830.155;267_C_BENIFERRI_VICENTE_TOMAS_MARTI;267;Beniferri - Vicent Tomás Martí;T;2;14;16;F;06/11/2018 13:04:02
726473.43;4373086.65699999966;83_PZA. DE LA LEGIÓN ESPAÑOLA;83;General Elio - Llano del Real;T;11;14;25;T;06/11/2018 13:04:02
723757.412;4373447.88499999978;145_PLAZA_BADAJOZ;145;Plaza Badajoz;T;2;13;15;F;06/11/2018 13:04:02
726522.722;4374983.326;232_SAN_VICENTE_DE_PAUL_SANTIAGO_RUSIÑOL;232;San Vicente Paul - Santiago Rusiñol;T;1;14;15;T;06/11/2018 13:04:02
728173.192;4371326.50299999956;061_VICENTE VIDAL;61;Vicent Vidal - Pintor Maella;T;6;14;20;T;06/11/2018 13:04:02
728666.608;4371176.39499999955;062_MENORCA;62;Menorca - Baleares;T;13;7;20;T;06/11/2018 13:04:02
727241.381;4372019.713;063_AVDA. DEL PUERTO I;63;Av Puerto 19 (Telefónica);T;12;8;20;T;06/11/2018 13:04:02
727608.482;4371890.39099999983;064_AVDA. DEL PUERTO II;64;Av. Puerto 61-63;T;7;13;20;F;06/11/2018 13:04:02
727900.669;4371787.65699999966;065_AVDA. DEL PUERTO III;65;Av. Puerto - Doctor Manuel Candela;T;10;9;19;T;06/11/2018 13:04:02
728298.458;4371661.047;066_GUILLEN DE ANGLESOLA;66;Guillem de Anglesola - Av. Puerto;T;8;17;25;F;06/11/2018 13:04:02
729130.423;4371084.43599999975;067_JUAN VERDEGUER;67;Juan Verdeguer - Toneleros;T;7;7;14;F;06/11/2018 13:04:02
726098.307;4372145.579;70_CALLE_COLON_ESQ_ALMIRANTE_ROGER_DE_LAURIA;70;"Colón, 44";T;17;0;17;F;06/11/2018 13:04:02
729406.548;4371261.47599999979;071_AVDA DEL PUERTO VI;71;Av. Puerto - Plaza Tribunal de les Aigües;T;4;16;20;T;06/11/2018 13:04:02
728284.692;4371990.94099999964;072_RAMIRO MAETZU;72;Ramiro de Maeztu - Peris Brell;T;0;15;15;F;06/11/2018 13:04:02
728582.94;4371890.3;073_JERONIMO MONSORIU;73;Jerónimo Monsoriu - Industria;T;7;13;20;T;06/11/2018 13:04:02
727636.956;4372272.409;074_PLAZA SAN FELIPE NERI;74;Plaza San Felipe Neri (Mercado Algirós);T;3;17;20;T;06/11/2018 13:04:02
727804.801;4372517.761;075_CAMPOAMOR I;75;República Argentina - Campoamor;T;8;17;25;T;06/11/2018 13:04:02
728520.347;4372313.3;076_CAMPOAMOR II;76;Campoamor - Músico Ginés;T;4;15;19;T;06/11/2018 13:04:02
726561.529;4373910.028;77_C/ MOLINELL;77;Molinell - Calderón de la Barca;T;2;18;20;T;06/11/2018 13:04:02
727210.757;4372259.455;078_AVDA. ARAGÓN I;78;Aragón - Vicente Sancho Tello;T;15;5;20;T;06/11/2018 13:04:02
727325.931;4372577.687;079_AVDA. ARAGON II;79;Aragón - Ernesto Ferrer;T;2;18;20;F;06/11/2018 13:04:02
726887.83;4372671.832;080_AMADEO SAVOIA;80;Amadeo de Saboya (frente Ayuntamiento);T;16;9;25;F;06/11/2018 13:04:02
726996.881;4372829.01;081_DOCTOR FORNOS;81;Micer Mascó - Rodriguez Fornos;T;18;1;20;F;06/11/2018 13:04:02
725020.763;4372874.455;082_GUILLEN_DE_CASTRO_TORRES_DE_QUART;82;Guillem de Castro (Torres de Quart);T;7;7;15;F;06/11/2018 13:04:02
723237.977;4374139.46;242_LA_SAFOR_AVDA_MAESTRO_RODRIGO;242;La Safor - Maestro Rodrigo;T;0;15;15;F;06/11/2018 13:04:02
725009.401;4371403.65199999977;243_ALBACETE_ESQ_MALUQUER;243;Albacete - Maluquer;T;5;13;18;T;06/11/2018 13:04:02
722836.087;4371810.01;263_PADRE ESTEBAN_PERNET_ANTES_CASA_MISERICORDIA;263;Padre Esteban Pernet - Casa Misericordia;T;12;6;18;F;06/11/2018 13:04:02
724461.496;4370545.659;86_AVDA_GASPAR_AGUILAR_ESQ_VICENTE_PARRA;86;Gaspar Aguilar - Vicente Parra;T;9;11;20;T;06/11/2018 13:04:02
726623.813;4374211.59399999958;123_C_ALBOCACER;123;Albocácer - Vinaroz;T;4;16;20;F;06/11/2018 13:04:02
724955.142;4374220.596;138_SAN_PANCRACIO;138;San Pancracio - Periodista Llorente;T;8;11;20;F;06/11/2018 13:04:02
722417.397;4372033.167;264_AVDA_CID_ANTES_MARCONI;264;Av. del Cid - Marconi;T;3;17;20;T;06/11/2018 13:04:02
724493.172;4374186.525;140_AVENIDA_CAMPANAR;140;Campanar - Nicasio Benlloch;T;4;16;20;F;06/11/2018 13:04:02
724890.673;4373671.905;141_C/ GREGORIO GEA (PEATONAL);141;Gregorio Gea - Padre Ferris;T;0;20;20;T;06/11/2018 13:04:02
724507.676;4373511.035;142_C/ GREGORIO GEA (PEATONAL);142;Gregorio Gea - Profesor Beltrán Báguena;T;21;3;25;F;06/11/2018 13:04:02
724405.493;4373243.332;143_AVDA. MENENDEZ PIDAL;143;Pio XII - Menéndez PIdal (Nuevo Centro);T;26;2;30;T;06/11/2018 13:04:02
724017.044;4373147.877;144_CALLE_MARQUES_DE_SAN_JUAN;144;Marqués de San Juan - Diputat Lluís Lucía;T;2;13;15;F;06/11/2018 13:04:02
724386.193;4373861.911;146_AVDA. CAMPANAR;146;Av. Campanar (La Fe);T;23;3;26;T;06/11/2018 13:04:02
725348.881;4372566.81099999975;147_CALLE_PIE_DE_LA_CRUZ_CALLE_DE_LA_REJA;147;Pie de la Cruz - Rejas;T;11;2;15;F;06/11/2018 13:04:02
726197.725;4375253.346;233_SAN_JUAN_BOSCO_SANTIAGO_RUSIÑOL;233;San Juan Bosco - Santiago Rusiñol;T;10;5;15;T;06/11/2018 13:04:02
725838.062;4375169.40799999982;234_PLAZA MUSICO_ESPI_JOSE_ESTEVE;234;Plaza Músico Espí;T;4;11;15;F;06/11/2018 13:04:02
725100.155;4374988.713;236_RIO_SEGRE_RAFAEL_COMPANY;236;Rio Segre - Rafael Company;T;9;6;15;T;06/11/2018 13:04:02
724347.763;4374932.654;237_LEVANTE_UD_AVDA_ECUADOR;237;Levante U.D. - Ecuador;T;7;8;15;T;06/11/2018 13:04:02
724051.437;4375223.03199999966;238_SAN_JOSE_ARTESANO_FRANCISCO_MOROTE_GREUS;238;San Jose Artesano - Francisco Morote Greus;T;5;10;15;F;06/11/2018 13:04:02
723572.961;4375157.649;239_LA_FLORISTA_TRANVIA_PALACIO_CONGRESOS;239;Florista - T4 (Palau de Congressos);T;2;18;20;T;06/11/2018 13:04:02
723443.17;4374933.821;240_CAMP_DEL_TURIA_AVDA_CORTES_VALENCIANAS;240;Camp del Turia - Corts Valencianes;T;10;10;20;F;06/11/2018 13:04:02
723420.161;4374708.07799999975;241_VALL_DE_ALBAIDA_PEATONAL;241;La Vall d'Albaida - Corts Valencianes;T;14;1;15;F;06/11/2018 13:04:02
722954.913;4372250.029;265_C_ALCASSER_POETA_ALBERTO_LISTA;265;Alcasser - Poeta Alberto Lista;T;6;9;15;F;06/11/2018 13:04:02
723043.372;4374398.48;266_PLANA_ALTA_ESQ_AVDA_MAESTRO_RODRIGO;266;Canal de Navarrés - Maestro Rodrigo;T;0;18;18;T;06/11/2018 13:04:02
726908.261;4373203.03699999955;87_AVDA BLASCO IBAÑEZ 2;87;Blasco Ibañez - Doctor Gómez Ferrer (Clínico);T;26;7;33;T;06/11/2018 13:04:02
726873.293;4373908.82299999986;120_C_DR VICENTE ZARAGOZA;120;Doctor Vicente Zaragozá - Emilio Baró;T;5;13;18;T;06/11/2018 13:04:02
727560.986;4373885.116;122_C_MÚSICO HIPÓLITO MARTÍNEZ;122;Músico Hipólito Martínez - Diógenes López Mecho;T;5;10;15;F;06/11/2018 13:04:02
726869.344;4374310.996;124_C/ AZAGADOR DE ALBORAYA;124;Azagador de Alboraya - Dolores Marqués;T;6;19;25;T;06/11/2018 13:04:02
727013.588;4374825.945;126_C/ ALFAUIR;126;Alfahuir - José Chabas Bordehore;T;7;13;20;F;06/11/2018 13:04:02
726648.299;4374536.718;127_C/ DUQUE DE MANDAS;127;Alfahuir - Duque de Mandas;T;0;20;20;F;06/11/2018 13:04:02
726387.768;4374326.342;128_C/ ALFAUIR;128;Alfahuir - Peñiscola;T;5;20;25;T;06/11/2018 13:04:02
724067.53;4373789.471;173_AVENIDA_PIO_XII_34;173;Pío XII - Monestir de Poblet;T;9;11;20;F;06/11/2018 13:04:02
724742.544;4374353.071;174_CALLE_MONDUBER;174;Monduber - Peset Aleixandre;T;5;13;19;T;06/11/2018 13:04:02
725070.824;4374712.673;175_CALLE_JUAN_XXIII;175;Juan XXIII - Domingo Gómez;T;4;11;15;T;06/11/2018 13:04:02
725404.568;4374658.835;176_CAMINO_DE_MONCADA_52;176;Cno. Moncada - Pedro Patricio Mey;T;9;11;20;F;06/11/2018 13:04:02
725861.045;4374841.89599999972;177_CALLE_ALCUDIA;177;Alcudia de Crespins - Pedro Patricio Mey;T;1;14;15;T;06/11/2018 13:04:02
726121.82;4374701.859;178_CALLE_REIG_GENOVES;178;Reig Genovés - Ramón Contreras Mongrell;T;0;20;20;F;06/11/2018 13:04:02
726591.991;4370633.41399999987;179_AVENIDA_DE_LA_PLATA_45;179;Av. de la Plata - Zapadores;T;4;19;23;F;06/11/2018 13:04:02
726431.916;4370909.48;181_CALLE_DEL_SALINAR;181;"Zapadores, 23";T;0;15;15;T;06/11/2018 13:04:02
725857.325;4370607.531;182_AVDA_AUSIAS_MARCH;182;Ausias March - Pianista Amparo Iturbi;T;2;19;21;F;06/11/2018 13:04:02
725428.757;4369556.305;190_CTRA_MALILLA;190;Cra. Malilla - Bulevar Sur;T;17;0;18;T;06/11/2018 13:04:02
725538.115;4370031.31099999975;191_CTRA_MALILLA;191;Esparraguera - Cra. Malilla;T;11;4;15;F;06/11/2018 13:04:02
723879.043;4372250.791;218_CALLE_SALVADOR_FERRANDIS_LUNA_ESQ_CALLE_JUAN_B;218;Salvador Ferrandis Luna - Juan Bautista Vives;T;1;14;15;T;06/11/2018 13:04:02
723510.284;4372471.32299999986;219_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_VELAZQUEZ;219;Castán Tobeñas - Rincon de Ademuz;T;13;5;18;F;06/11/2018 13:04:02
725092.652;4373319.36099999957;001_GUILLEN_DE_CASTRO;1;C/GUILLEM DE CASTRO esquina con C/NA JORDANA;T;6;19;25;T;06/11/2018 13:04:02
725366.769;4373310.348;002_CALLE_SALVADOR_GINER_CALLE_MUSEO;2;Salvador Giner - C. Museo;T;1;14;15;F;06/11/2018 13:04:02
725330.179;4372969.99299999978;003_PLAZA_MUSICO_LOPEZ_CHAVARRI;3;Plaza del Musico López Chavarri;T;8;12;20;T;06/11/2018 13:04:02
725755.944;4372972.613;004_PLAZA_DE_LA_VIRGEN_CALLE_BAILIA;4;Plaza de la Virgen - Bailía;T;11;14;25;T;06/11/2018 13:04:02
725431.405;4372754.855;007_PZA_DEL_MERCADO_TAULA_DE_CANVIS;7;Plaza del Mercado - Taula de Canvis;T;18;2;20;T;06/11/2018 13:04:02
725785.991;4372703.85599999968;008_PLAZA_DE_LA_REINA_ESQUINA_CALLE_DEL_MAR;8;Plaza de la Reina - Mar;T;18;4;23;T;06/11/2018 13:04:02
726229.268;4372720.676;009_PLAZA_TETUAN_4;9;Plaza de Tetuán;T;21;4;25;T;06/11/2018 13:04:02
725149.845;4372296.059;010_CALLE_DEL_HOSPITAL_FRENTE_CALLE_HORNO_DEL_HOSP;10;Hospital - Horno del Hospital;T;2;13;15;T;06/11/2018 13:04:02
725649.875;4372351.711;011_PZA_AYTO_CON_CALLE_COTANDA;11;Plaza Ayuntamiento - Cotanda;T;11;16;27;T;06/11/2018 13:04:02
725886.009;4372445.348;012_CALLE_MINYANA;12;Calle Salvá - Calle Poeta Querol;T;19;1;20;T;06/11/2018 13:04:02
726155.487;4372463.775;013_PZA. ALFONSO MAGNANIMO_CON_CALLE_LA_NAVE;13;Alfonso el Magnánimo - Nave;T;18;6;24;T;06/11/2018 13:04:02
725404.105;4372098.03299999982;014_BARÓN CARCER;14;Huesca - Barón de Cárcer;T;8;12;20;T;06/11/2018 13:04:02
725755.339;4372121.70199999958;015_RIBERA;15;Ribera - Plaza Ayuntamiento;T;17;17;34;T;06/11/2018 13:04:02
725621.027;4371937.812;017_ESTACION RENFE I;17;Xátiva - Bailén (Estación del Norte);T;25;15;40;T;06/11/2018 13:04:02
725974.018;4372028.422;018_COLON II;18;Colón 20-22;T;22;2;24;T;06/11/2018 13:04:02
724365.85;4372668.04;019_JUAN_LLORENS;19;Juan Llorens - Quart;T;6;9;15;F;06/11/2018 13:04:02
724685.713;4372751.189;020_FERNANDO_EL_CATOLICO_CALLE_QUART;20;Quart - Fernando el Católico;T;3;13;16;T;06/11/2018 13:04:02
724490.651;4372449.68499999959;021_JUAN_LLORENS_29;21;Juan Llorens - Literato Gabriel Miró;T;0;16;16;T;06/11/2018 13:04:02
726975.018;4373093.228;088_AVDA. BLASCO IBAÑEZ 3;88;"Blasco Ibañez, 28 (F. Geografía e Historia)";T;33;7;40;T;06/11/2018 13:04:02
727130.984;4373130.018;89_AVDA. BLASCO IBAÑEZ;89;"Blasco Ibañez, 23 (F. Filosofía y Psicología)";T;9;21;30;F;06/11/2018 13:04:02
726199.811;4372246.206;016_COLON I;16;"Colón, 60";T;17;2;20;T;06/11/2018 13:04:02
724659.071;4372167.495;022_JUAN_LLORENS_57;22;Angel Guimerá - Juan Llorens;T;5;10;15;F;06/11/2018 13:04:02
725324.503;4374324.99;137_CALLE_ECONOMISTA_GAY;137;Economista Gay - Luis Crumiere;T;0;20;20;T;06/11/2018 13:04:02
725079.185;4373948.23599999957;139_C/ REUS;139;Reus - Alquería de la Estrella;T;3;12;15;F;06/11/2018 13:04:02
726966.242;4371473.377;149_AVDA. PERIS Y VALERO;149;Peris y Valero - Salamanca;T;14;6;20;F;06/11/2018 13:04:02
